user_id,education_level,fields_of_study,education_count,attended_university,different_university_count,recent_study_label
0,other,other,3,1,3,0
1,master,it,2,1,1,0
2,other,it,2,1,2,0
3,bachelor,it,1,1,1,0
4,bachelor,it,1,1,1,0
5,master,it,4,1,3,1
6,other,it,2,1,2,0
7,other,it,1,1,1,0
8,bachelor,it,1,1,1,0
9,bachelor,it,1,1,1,0
10,bachelor,it,3,1,2,0
11,bachelor,it,2,1,2,0
12,master,it,2,1,2,0
13,bachelor,it,2,1,2,0
14,master,it,2,1,2,0
15,bachelor,it,1,1,1,0
16,bachelor,it,2,1,2,0
17,other,it,1,1,1,0
18,bachelor,it,2,1,2,0
19,bachelor,it,1,1,1,0
20,bachelor,it,1,1,1,0
21,other,it,1,1,1,0
22,other,it,4,1,2,0
23,bachelor,it,1,1,1,0
24,bachelor,it,2,1,2,0
25,bachelor,it,2,1,2,1
26,bachelor,it,2,1,2,0
27,other,it,1,1,1,0
28,bachelor,it,1,1,1,0
29,bachelor,it,1,1,1,0
30,bachelor,it,1,1,1,0
31,bachelor,it,1,1,1,0
32,bachelor,it,1,1,1,0
33,other,it,1,1,1,0
34,master,it,4,1,4,0
35,bachelor,it,1,1,1,0
36,bachelor,it,3,1,3,0
37,other,it,2,1,2,0
38,bachelor,it,2,1,2,0
39,master,other,3,1,3,0
40,bachelor,it,1,1,1,0
41,master,it,3,1,2,0
42,bachelor,it,3,1,3,0
43,bachelor,it,1,1,1,0
44,bachelor,it,1,1,1,0
45,other,it,1,1,1,1
46,bachelor,it,1,1,1,0
47,bachelor,it,1,1,1,0
48,bachelor,it,1,1,1,0
49,bachelor,it,2,1,2,0
50,bachelor,it,1,1,1,0
51,bachelor,it,1,1,1,0
52,bachelor,it,1,1,1,0
53,bachelor,it,1,1,1,1
54,bachelor,it,2,1,2,0
55,bachelor,it,1,1,1,0
56,bachelor,it,2,1,2,0
57,bachelor,it,1,1,1,0
58,bachelor,it,1,1,1,0
59,master,it,3,1,2,1
60,bachelor,it,1,1,1,0
61,bachelor,it,1,1,1,0
62,bachelor,other,2,1,1,0
63,bachelor,it,3,1,3,0
64,bachelor,it,1,1,1,0
65,bachelor,it,1,1,1,0
66,bachelor,it,2,1,2,0
67,bachelor,other,2,0,2,0
68,other,it,2,1,2,0
69,other,other,1,1,1,0
70,bachelor,it,3,1,3,0
71,bachelor,it,2,1,2,0
72,bachelor,it,2,1,2,0
73,other,it,2,1,2,0
74,bachelor,it,2,1,2,1
75,bachelor,it,3,1,3,0
76,bachelor,it,1,1,1,1
77,bachelor,it,1,1,1,0
78,bachelor,it,1,1,1,0
79,bachelor,it,2,1,2,0
80,bachelor,it,1,1,1,0
81,master,it,2,1,2,0
82,bachelor,it,1,1,1,0
83,bachelor,it,4,1,2,1
84,bachelor,it,1,1,1,0
85,other,it,1,1,1,0
86,other,it,1,1,1,0
87,bachelor,it,1,1,1,0
88,bachelor,it,2,1,2,0
89,bachelor,it,2,1,2,0
90,other,other,1,1,1,0
91,bachelor,it,1,1,1,0
92,other,it,2,1,2,0
93,bachelor,it,1,1,1,0
94,bachelor,it,1,1,1,0
95,bachelor,it,2,1,2,0
96,bachelor,it,1,1,1,0
97,bachelor,it,1,1,1,0
98,other,it,1,1,1,0
99,bachelor,it,1,1,1,0
100,master,it,3,1,2,0
101,other,other,1,1,1,0
102,other,it,1,1,1,0
103,other,it,1,1,1,0
104,other,it,1,1,1,0
105,other,other,1,1,1,0
106,bachelor,it,2,1,2,0
107,other,it,1,1,1,0
108,bachelor,it,2,1,2,0
109,bachelor,it,1,1,1,1
110,bachelor,it,2,1,2,0
111,bachelor,it,1,1,1,0
112,bachelor,it,2,1,2,0
113,bachelor,it,1,1,1,0
114,bachelor,it,2,1,2,0
115,bachelor,it,1,1,1,0
116,bachelor,it,1,1,1,0
117,other,it,1,1,1,0
118,other,it,1,1,1,0
119,bachelor,it,1,1,1,0
120,other,it,1,1,1,0
121,bachelor,it,1,1,1,0
122,bachelor,it,3,1,3,0
123,master,business,4,1,4,0
124,bachelor,business,2,1,2,0
125,other,it,2,1,2,0
126,bachelor,it,1,1,1,0
127,master,it,2,1,1,0
128,bachelor,it,1,1,1,0
129,other,it,1,1,1,0
130,other,it,2,1,2,0
131,other,it,2,1,2,0
132,master,it,3,1,2,0
133,bachelor,it,1,1,1,0
134,bachelor,it,2,1,2,0
135,other,it,1,1,1,0
136,master,it,3,1,2,0
137,master,it,2,1,2,0
138,other,it,1,1,1,0
139,master,business,3,1,3,0
140,other,it,1,1,1,0
141,bachelor,it,2,1,2,0
142,bachelor,it,1,1,1,0
143,bachelor,business,2,1,2,0
144,other,it,2,1,2,0
145,other,it,1,1,1,0
146,bachelor,it,2,1,2,0
147,bachelor,it,2,1,2,1
148,master,it,2,1,1,0
149,master,it,3,1,2,0
150,other,other,2,1,2,0
151,other,it,2,1,2,0
152,bachelor,it,1,1,1,0
153,master,it,4,1,4,0
154,bachelor,it,1,1,1,0
155,master,business,4,1,4,0
156,master,it,3,1,2,0
157,bachelor,it,1,1,1,0
158,bachelor,it,1,1,1,0
159,master,it,3,1,2,0
160,other,other,2,1,2,0
161,other,other,2,1,2,0
162,bachelor,it,2,1,2,0
163,bachelor,it,1,1,1,0
164,bachelor,it,1,1,1,0
165,master,business,3,1,3,0
166,other,it,2,1,2,0
167,bachelor,it,2,1,2,0
168,bachelor,it,2,1,2,0
169,bachelor,it,1,1,1,0
170,bachelor,it,2,1,2,1
171,bachelor,it,1,1,1,0
172,master,it,3,1,2,0
173,master,it,2,1,1,0
174,bachelor,it,1,1,1,0
175,master,it,2,1,2,0
176,bachelor,it,3,1,3,1
177,bachelor,it,2,1,2,0
178,bachelor,it,1,1,1,0
179,bachelor,it,1,1,1,1
180,other,it,1,1,1,0
181,bachelor,it,1,1,1,0
182,other,it,1,1,1,1
183,bachelor,it,1,1,1,1
184,bachelor,it,1,1,1,0
185,bachelor,it,1,1,1,0
186,bachelor,it,2,1,2,0
187,bachelor,it,1,1,1,0
