user_id,language,proficiency
8,eng,full_professional
8,tur,native_or_bilingual
8,fra,elementary
10,eng,
11,tur,native_or_bilingual
11,eng,professional_working
11,kur,native_or_bilingual
12,tur,native_or_bilingual
12,eng,professional_working
13,eng,full_professional
13,deu,limited_working
14,eng,professional_working
14,tur,native_or_bilingual
17,tur,
17,eng,
18,tur,
20,eng,professional_working
20,tur,native_or_bilingual
22,tur,native_or_bilingual
22,eng,professional_working
26,eng,limited_working
26,tur,native_or_bilingual
32,eng,professional_working
32,tur,native_or_bilingual
38,eng,professional_working
38,tur,native_or_bilingual
39,eng,limited_working
44,eng,limited_working
44,tur,native_or_bilingual
49,eng,
50,eng,limited_working
53,deu,elementary
53,eng,limited_working
56,tur,native_or_bilingual
56,eng,professional_working
57,eng,limited_working
57,jpn,elementary
57,tur,native_or_bilingual
60,tur,native_or_bilingual
60,eng,limited_working
63,eng,full_professional
63,tur,native_or_bilingual
64,tur,
64,eng,
66,tur,native_or_bilingual
66,eng,limited_working
67,tur,
67,eng,
70,tur,native_or_bilingual
70,eng,limited_working
73,eng,professional_working
73,i̇spanyolca,elementary
75,eng,
80,eng,
80,tur,
81,tur,native_or_bilingual
81,eng,professional_working
83,eng,professional_working
83,deu,elementary
85,eng,professional_working
85,gre,elementary
86,tur,
86,eng,
92,eng,professional_working
92,tur,native_or_bilingual
93,eng,elementary
99,tur,
99,eng,
100,eng,
100,deu,
102,tur,native_or_bilingual
102,eng,limited_working
107,tur,native_or_bilingual
107,eng,professional_working
110,eng,professional_working
111,eng,limited_working
111,tur,native_or_bilingual
114,eng,limited_working
114,tur,native_or_bilingual
115,tur,native_or_bilingual
115,eng,limited_working
119,eng,limited_working
120,tur,
120,deu,
120,eng,
122,eng,
125,tur,native_or_bilingual
125,eng,professional_working
129,tur,native_or_bilingual
129,eng,professional_working
129,türkmence,professional_working
129,deu,elementary
130,tur,native_or_bilingual
130,ingilzce,professional_working
134,eng,limited_working
134,tur,native_or_bilingual
135,tur,native_or_bilingual
135,eng,professional_working
136,tur,native_or_bilingual
136,eng,professional_working
136,kor,elementary
140,tur,
140,deu,
140,eng,
141,eng,full_professional
141,deu,limited_working
149,eng,
149,deu,
154,tur,
154,eng,
156,eng,
156,deu,
157,eng,professional_working
157,tur,native_or_bilingual
159,tur,native_or_bilingual
159,eng,professional_working
159,kor,elementary
163,eng,limited_working
164,tur,native_or_bilingual
164,eng,limited_working
166,eng,professional_working
166,i̇spanyolca,elementary
167,eng,professional_working
169,eng,professional_working
169,tur,native_or_bilingual
171,eng,
171,tur,
172,eng,
172,deu,
175,eng,professional_working
175,deu,limited_working
180,eng,limited_working
188,eng,
188,tur,
189,i̇ngizce,limited_working
189,tur,native_or_bilingual
194,eng,professional_working
194,tur,native_or_bilingual
195,eng,limited_working
195,tur,native_or_bilingual
197,eng,limited_working
198,eng,full_professional
198,ara,native_or_bilingual
198,tur,full_professional
201,tur,native_or_bilingual
201,eng,limited_working
202,eng,limited_working
203,tur,
203,eng,
203,deu,
206,eng,professional_working
206,tur,native_or_bilingual
210,rus,elementary
210,eng,professional_working
216,tur,native_or_bilingual
216,eng,limited_working
218,eng,limited_working
218,tur,native_or_bilingual
220,eng,full_professional
222,tur,native_or_bilingual
222,eng,professional_working
223,tur,native_or_bilingual
223,eng,full_professional
223,i̇spanyolca,elementary
224,tur,native_or_bilingual
224,eng,professional_working
226,tur,
226,eng,
227,eng,elementary
228,tur,native_or_bilingual
228,eng,limited_working
228,deu,elementary
233,tur,
233,eng,limited_working
235,eng,professional_working
236,eng,full_professional
237,eng,professional_working
238,tur,native_or_bilingual
238,eng,elementary
238,kur,native_or_bilingual
243,eng,professional_working
243,romanca,elementary
243,tur,native_or_bilingual
243,lehçe,elementary
244,eng,full_professional
248,tur,native_or_bilingual
248,eng,elementary
249,eng,
251,tur,native_or_bilingual
251,eng,limited_working
255,eng,limited_working
255,tur,native_or_bilingual
256,tur,native_or_bilingual
256,eng,full_professional
260,eng,full_professional
268,tur,native_or_bilingual
268,eng,professional_working
268,deu,elementary
276,tur,native_or_bilingual
276,eng,professional_working
277,eng,limited_working
277,kur,native_or_bilingual
278,eng,full_professional
278,tur,native_or_bilingual
281,tur,native_or_bilingual
281,eng,professional_working
282,polish,elementary
282,tur,native_or_bilingual
282,eng,professional_working
286,tur,native_or_bilingual
286,eng,professional_working
290,eng,professional_working
292,eng,limited_working
304,eng,
305,ara,native_or_bilingual
305,eng,limited_working
305,tur,professional_working
307,eng,limited_working
310,eng,limited_working
311,tur,native_or_bilingual
311,eng,limited_working
314,tur,full_professional
314,eng,professional_working
314,kur,full_professional
320,eng,limited_working
320,tur,native_or_bilingual
321,eng,limited_working
322,eng,professional_working
322,tur,native_or_bilingual
327,eng,limited_working
327,kor,elementary
334,tur,
334,eng,
337,eng,
338,eng,limited_working
338,deu,elementary
341,tur,native_or_bilingual
341,eng,professional_working
345,tur,native_or_bilingual
345,eng,professional_working
346,eng,limited_working
347,tur,native_or_bilingual
347,eng,limited_working
347,jpn,elementary
351,tur,
351,eng,
353,eng,limited_working
353,tur,native_or_bilingual
356,tur,native_or_bilingual
356,eng,professional_working
358,eng,professional_working
358,deu,elementary
361,eng,elementary
364,eng,
364,tur,
372,eng,limited_working
372,tur,native_or_bilingual
373,tur,
373,eng,
377,eng,professional_working
378,tur,native_or_bilingual
378,eng,professional_working
381,tur,native_or_bilingual
381,eng,limited_working
383,eng,elementary
388,eng,professional_working
388,tur,native_or_bilingual
390,tur,native_or_bilingual
390,eng,professional_working
395,eng,professional_working
398,eng,limited_working
398,i̇spanyolca,elementary
398,tur,native_or_bilingual
404,tur,native_or_bilingual
404,eng,limited_working
406,eng,professional_working
406,tur,native_or_bilingual
409,eng,elementary
409,tur,native_or_bilingual
410,eng,professional_working
410,deu,limited_working
416,tur,
416,eng,
418,eng,
418,deu,
419,eng,full_professional
419,tur,native_or_bilingual
420,eng,limited_working
421,eng,professional_working
426,i̇ngizce,limited_working
426,tur,native_or_bilingual
429,eng,limited_working
431,tur,native_or_bilingual
431,eng,elementary
431,kur,native_or_bilingual
432,eng,
432,deu,
433,eng,elementary
433,tur,native_or_bilingual
435,eng,
436,tur,
436,eng,
436,jpn,
437,eng,professional_working
440,eng,professional_working
441,tur,
441,eng,
442,tur,native_or_bilingual
442,eng,professional_working
443,ara,
443,eng,
448,eng,professional_working
449,tur,native_or_bilingual
449,eng,professional_working
450,eng,limited_working
451,eng,limited_working
451,tur,native_or_bilingual
454,tur,native_or_bilingual
454,eng,limited_working
460,tur,native_or_bilingual
460,eng,professional_working
460,kor,elementary
461,rus,professional_working
461,eng,professional_working
461,tur,native_or_bilingual
461,deu,limited_working
462,eng,professional_working
462,deu,limited_working
463,eng,
463,deu,
465,eng,professional_working
466,eng,elementary
466,tur,native_or_bilingual
468,eng,elementary
468,tur,native_or_bilingual
470,i̇ngizce,limited_working
470,tur,native_or_bilingual
471,tur,
471,eng,
473,tur,native_or_bilingual
473,eng,limited_working
475,tur,native_or_bilingual
475,eng,professional_working
476,rus,professional_working
476,eng,professional_working
476,tur,native_or_bilingual
476,deu,limited_working
477,tur,native_or_bilingual
477,eng,professional_working
477,kor,elementary
478,eng,
478,deu,
479,tur,native_or_bilingual
479,azerice,native_or_bilingual
479,eng,elementary
481,tur,native_or_bilingual
481,eng,limited_working
483,tur,native_or_bilingual
483,eng,limited_working
484,eng,
484,deu,
486,eng,professional_working
487,rus,professional_working
487,eng,professional_working
487,tur,native_or_bilingual
487,deu,limited_working
490,eng,
491,eng,limited_working
492,eng,professional_working
492,deu,limited_working
493,ara,native_or_bilingual
493,eng,limited_working
493,tur,full_professional
499,tur,native_or_bilingual
499,eng,professional_working
502,tur,native_or_bilingual
502,eng,professional_working
503,eng,
504,tur,native_or_bilingual
504,eng,limited_working
506,eng,full_professional
506,tur,full_professional
506,deu,full_professional
508,eng,professional_working
508,deu,elementary
509,eng,professional_working
510,tur,
510,eng,
511,eng,limited_working
512,tur,native_or_bilingual
512,eng,limited_working
517,tur,native_or_bilingual
517,eng,professional_working
518,tur,native_or_bilingual
518,ara,limited_working
518,eng,professional_working
519,eng,limited_working
520,eng,professional_working
520,deu,elementary
520,tur,native_or_bilingual
521,eng,professional_working
522,tur,native_or_bilingual
522,eng,limited_working
525,eng,limited_working
526,eng,limited_working
530,tur,native_or_bilingual
530,eng,professional_working
531,eng,professional_working
531,tur,native_or_bilingual
533,eng,professional_working
533,tur,native_or_bilingual
534,eng,professional_working
534,tur,native_or_bilingual
540,eng,professional_working
541,tur,
541,eng,
542,eng,professional_working
545,tur,native_or_bilingual
545,eng,limited_working
548,i̇nglizce,limited_working
552,eng,
553,eng,professional_working
554,tur,native_or_bilingual
554,eng,professional_working
554,deu,limited_working
555,tur,
555,eng,
556,eng,professional_working
556,rus,elementary
557,tur,native_or_bilingual
557,eng,professional_working
558,tur,native_or_bilingual
558,eng,limited_working
562,eng,limited_working
564,eng,
566,eng,professional_working
566,tur,native_or_bilingual
567,eng,professional_working
569,eng,
571,eng,professional_working
575,tur,
575,eng,
576,eng,limited_working
576,tur,native_or_bilingual
587,eng,professional_working
587,kur,native_or_bilingual
587,tur,native_or_bilingual
587,deu,
590,tur,native_or_bilingual
590,eng,limited_working
594,eng,limited_working
594,tur,native_or_bilingual
597,eng,limited_working
599,tur,native_or_bilingual
599,eng,limited_working
600,tur,native_or_bilingual
600,eng,limited_working
601,eng,professional_working
602,eng,professional_working
602,tur,native_or_bilingual
604,tur,native_or_bilingual
604,eng,professional_working
606,eng,full_professional
607,eng,professional_working
610,eng,limited_working
610,tur,native_or_bilingual
611,eng,professional_working
611,tur,native_or_bilingual
613,eng,limited_working
616,tur,native_or_bilingual
616,eng,limited_working
624,tur,native_or_bilingual
624,eng,limited_working
627,tur,native_or_bilingual
627,eng,limited_working
632,tur,
636,ara,native_or_bilingual
636,eng,limited_working
636,tur,full_professional
637,eng,professional_working
637,tur,native_or_bilingual
641,eng,professional_working
644,eng,full_professional
648,tur,native_or_bilingual
648,eng,limited_working
650,eng,full_professional
652,eng,professional_working
652,deu,limited_working
654,eng,professional_working
656,eng,limited_working
657,eng,
657,deu,
660,eng,professional_working
660,tur,native_or_bilingual
663,tur,native_or_bilingual
663,eng,limited_working
664,eng,limited_working
664,tur,native_or_bilingual
664,deu,elementary
665,eng,professional_working
667,tur,native_or_bilingual
667,eng,professional_working
668,eng,professional_working
669,tur,
669,eng,
671,tur,native_or_bilingual
671,eng,limited_working
673,eng,professional_working
673,tur,native_or_bilingual
676,eng,professional_working
676,tur,professional_working
677,eng,
679,tur,native_or_bilingual
679,eng,professional_working
680,eng,professional_working
680,deu,limited_working
683,eng,
683,deu,
687,tur,
687,eng,elementary
690,tur,native_or_bilingual
690,eng,full_professional
692,eng,
692,deu,
696,eng,
696,deu,
697,eng,professional_working
697,tur,native_or_bilingual
699,eng,elementary
699,tur,native_or_bilingual
700,eng,professional_working
700,tur,
702,tur,
702,eng,
704,eng,professional_working
704,francais,elementary
704,ita,elementary
704,tur,native_or_bilingual
706,eng,
708,eng,limited_working
709,eng,limited_working
709,tur,native_or_bilingual
711,eng,full_professional
715,tur,native_or_bilingual
715,eng,elementary
716,tur,
716,eng,
721,tur,native_or_bilingual
721,eng,limited_working
724,ara,native_or_bilingual
724,eng,professional_working
724,tur,professional_working
728,farsça,native_or_bilingual
728,tur,native_or_bilingual
728,eng,limited_working
729,eng,limited_working
729,tur,native_or_bilingual
731,eng,professional_working
733,ara,native_or_bilingual
733,eng,limited_working
733,tur,limited_working
734,polish,elementary
