user_id,StartAfter2019,companies_worked,positions_worked,days_worked,max_days_worked,min_days_worked,avg_days_worked,total_days_worked
0,0,1,1,4870,4870,4870,4870,4870
2,0,3,3,182,365,182,253,761
5,0,1,1,579,579,579,579,579
7,0,2,4,365,487,31,228,914
10,0,2,2,1734,1734,245,989,1979
11,0,2,2,365,365,153,259,518
12,0,4,5,31,853,31,402,2010
13,0,2,6,366,851,304,477,2863
14,0,1,1,1767,1767,1767,1767,1767
16,0,1,1,579,579,579,579,579
17,1,1,1,-181,-181,-181,-181,-181
18,0,3,3,304,334,-212,142,426
22,0,2,2,638,638,-273,182,365
24,0,2,2,426,426,-212,107,214
25,0,1,1,730,730,730,730,730
26,1,1,1,-151,-151,-151,-151,-151
27,0,4,4,668,1492,153,852,3409
31,0,2,2,304,304,214,259,518
32,0,2,2,183,183,31,107,214
33,1,1,1,-334,-334,-334,-334,-334
34,0,4,4,1584,1675,273,1157,4628
35,0,2,2,153,699,153,426,852
36,0,2,2,730,1096,730,913,1826
38,0,2,2,730,730,-151,289,579
39,1,1,1,-181,-181,-181,-181,-181
40,0,3,3,730,762,518,670,2010
41,1,2,2,92,92,-243,-75,-151
42,0,1,2,1887,1887,-212,837,1675
43,0,2,2,304,304,61,182,365
46,0,3,3,30,396,30,193,579
49,0,3,3,184,760,-334,203,610
50,1,2,2,120,120,-151,-15,-31
55,0,4,4,31,854,31,403,1614
56,0,7,7,365,1310,-304,343,2405
57,0,4,5,1035,1614,0,675,3379
59,0,1,1,914,914,914,914,914
60,0,1,1,153,153,153,153,153
61,0,2,2,396,396,153,274,549
63,0,5,9,366,457,-120,307,2771
64,0,2,2,365,365,184,274,549
65,0,2,2,365,365,0,182,365
67,0,2,2,946,946,334,640,1280
69,0,2,3,92,822,92,426,1280
70,0,3,4,335,1856,92,593,2375
72,0,2,2,2191,2191,214,1202,2405
73,0,1,1,92,92,92,92,92
75,0,3,3,610,610,-181,314,944
77,1,1,1,-212,-212,-212,-212,-212
78,1,1,1,-181,-181,-181,-181,-181
81,0,2,2,731,731,579,655,1310
84,1,2,2,153,153,-304,-75,-151
85,0,1,1,579,579,579,579,579
86,0,3,3,700,1065,610,791,2375
87,0,2,2,487,487,-273,107,214
89,1,1,1,-151,-151,-151,-151,-151
91,0,1,1,579,579,579,579,579
92,0,3,3,182,549,182,355,1065
95,0,2,2,518,518,-334,92,184
96,0,3,4,365,884,365,510,2040
99,0,4,5,336,760,-304,268,1341
100,0,7,7,1127,1155,0,630,4414
102,0,2,2,397,852,397,624,1249
103,0,2,2,426,426,396,411,822
104,0,3,3,365,1979,31,791,2375
105,0,1,1,4263,4263,4263,4263,4263
107,0,2,2,1309,1309,-334,487,975
108,0,1,1,61,61,61,61,61
110,0,3,5,2099,2099,61,681,3409
114,0,2,4,61,334,0,144,579
115,0,5,5,335,1249,-90,456,2283
118,0,2,4,365,487,31,228,914
121,1,1,1,-90,-90,-90,-90,-90
122,0,3,3,668,1492,-212,649,1948
123,0,1,1,2649,2649,2649,2649,2649
125,0,6,8,61,670,61,201,1614
126,0,5,5,61,212,-243,42,214
127,1,1,1,-151,-151,-151,-151,-151
128,0,1,2,62,487,62,274,549
129,1,2,2,212,212,-212,0,0
130,0,1,1,1036,1036,1036,1036,1036
131,0,5,6,1126,1126,0,446,2679
132,1,1,1,-212,-212,-212,-212,-212
133,0,6,8,61,701,31,209,1675
134,0,2,3,61,334,61,193,579
135,0,5,7,518,912,92,500,3501
136,0,2,2,334,671,334,502,1005
139,0,1,1,1005,1005,1005,1005,1005
141,0,2,6,366,851,304,477,2863
142,0,5,5,61,212,-243,42,214
143,1,1,1,-31,-31,-31,-31,-31
144,0,5,5,182,365,-212,152,761
145,0,2,4,365,487,31,228,914
147,0,1,1,730,730,730,730,730
149,0,11,11,1127,1155,-243,401,4414
150,0,5,5,2252,2253,0,1339,6696
151,0,5,6,1126,1126,0,446,2679
153,0,4,4,1584,1675,273,1157,4628
154,0,3,4,336,760,31,335,1341
155,0,1,1,2649,2649,2649,2649,2649
156,0,11,11,1127,1155,-243,401,4414
157,0,3,3,183,212,-181,71,214
158,1,1,1,-90,-90,-90,-90,-90
159,0,2,2,334,671,334,502,1005
160,0,5,5,2252,2253,0,1339,6696
161,0,5,5,2252,2253,0,1339,6696
164,0,3,3,335,1249,335,761,2283
165,0,1,1,1005,1005,1005,1005,1005
